Symbol
WBA
CSCO
PG
UNH
AXP
PFE
BA
MCD
V
JNJ
VZ
DIS
KO
WMT
TRV
AAPL
CAT
UTX
NKE
MSFT
CVX
INTC
MRK
MMM
XOM
HD
GS
IBM
JPM
DWDP
